,site,NAAMP,file_name,folder_date,Lcapito,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140505_205000.wav,W55,1,20140505_205000,5-2-14,False,9.25841750522708,2014,2a,225.0,2014-05-05 20:50:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140505_195000.wav,W55,1,20140505_195000,5-2-14,False,35.67190257633082,2014,2a,153.5,2014-05-05 19:50:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140505_004900.wav,W55,1,20140505_004900,5-2-14,False,66.18853979047162,2014,2a,63.5,2014-05-05 00:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140504_234900.wav,W55,1,20140504_234900,5-2-14,False,80.05513038928774,2014,2a,146.0,2014-05-04 23:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140504_224900.wav,W55,1,20140504_224900,5-2-14,False,31.74108807033792,2014,2a,28.0,2014-05-04 22:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140504_214900.wav,W55,1,20140504_214900,5-2-14,False,48.34175674652364,2014,2a,210.0,2014-05-04 21:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140504_204900.wav,W55,2,20140504_204900,5-2-14,False,17.91468012516198,2014,2a,41.5,2014-05-04 20:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140504_194900.wav,W55,1,20140504_194900,5-2-14,False,47.90980985131679,2014,2a,18.0,2014-05-04 19:49:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140504_004800.wav,W55,2,20140504_004800,5-2-14,False,63.87342796886194,2014,2a,147.5,2014-05-04 00:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140503_234800.wav,W55,1,20140503_234800,5-2-14,False,70.06533606166431,2014,2a,5.0,2014-05-03 23:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140503_224800.wav,W55,1,20140503_224800,5-2-14,False,51.88307133675987,2014,2a,295.5,2014-05-03 22:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140503_214800.wav,W55,2,20140503_214800,5-2-14,False,27.55474398201476,2014,2a,79.0,2014-05-03 21:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140503_204800.wav,W55,2,20140503_204800,5-2-14,False,15.770757500020665,2014,2a,47.5,2014-05-03 20:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140503_194800.wav,W55,1,20140503_194800,5-2-14,False,33.606906904761686,2014,2a,107.5,2014-05-03 19:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140503_004800.wav,W55,2,20140503_004800,5-2-14,False,45.08979002533228,2014,2a,60.0,2014-05-03 00:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140502_234800.wav,W55,2,20140502_234800,5-2-14,False,58.01863217070007,2014,2a,279.5,2014-05-02 23:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140502_224800.wav,W55,2,20140502_224800,5-2-14,False,42.08361297251166,2014,2a,4.0,2014-05-02 22:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140502_214800.wav,W55,2,20140502_214800,5-2-14,False,75.67162621738176,2014,2a,236.0,2014-05-02 21:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140502_204800.wav,W55,2,20140502_204800,5-2-14,False,24.20132635061986,2014,2a,150.5,2014-05-02 20:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-2-14/20140502_194800.wav,W55,1,20140502_194800,5-2-14,False,26.241281252689944,2014,2a,96.0,2014-05-02 19:48:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140518_235900.wav,W29,2,20140518_235900,5-15-14,False,380.4097965395702,2014,2a,71.0,2014-05-18 23:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140518_225900.wav,W29,2,20140518_225900,5-15-14,False,81.00042916180843,2014,2a,216.0,2014-05-18 22:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140518_215900.wav,W29,2,20140518_215900,5-15-14,False,70.61215855621302,2014,2a,175.0,2014-05-18 21:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140518_205900.wav,W29,1,20140518_205900,5-15-14,False,52.53984268492146,2014,2a,242.5,2014-05-18 20:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140518_195900.wav,W29,1,20140518_195900,5-15-14,False,76.93606978773603,2014,2a,36.0,2014-05-18 19:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140517_235800.wav,W29,2,20140517_235800,5-15-14,False,88.61971541952558,2014,2a,259.5,2014-05-17 23:58:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140517_225800.wav,W29,2,20140517_225800,5-15-14,False,181.3413561845857,2014,2a,219.5,2014-05-17 22:58:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140517_215800.wav,W29,1,20140517_215800,5-15-14,False,79.75027660648081,2014,2a,62.5,2014-05-17 21:58:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140517_205800.wav,W29,2,20140517_205800,5-15-14,False,65.81853272364661,2014,2a,70.5,2014-05-17 20:58:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140517_195800.wav,W29,2,20140517_195800,5-15-14,False,83.83522404448834,2014,2a,140.5,2014-05-17 19:58:00
/Volumes/Expansion/Frog Call Project/Calling Data/ichaway/ichaway_2014/2a/5-15-14/20140516_235700.wav,W29,1,20140516_235700,5-15-14,False,50.20889623388562,2014,2a,214.5,2014-05-16 23:57:00
