,score,year,logger,time_stamp,date
./sample_data/FLSHE_2018/FLSHE_2018_399/Lcapito_call_20181222_173600.wav,122.73036017407183,2018,399,2.5,2018-12-22 17:36:00
./sample_data/FLSHE_2018/FLSHE_2018_400/Lcapito_call_20181224_173600.wav,104.92012448834633,2018,400,1.5,2018-12-24 17:36:00
./sample_data/FLSHE_2017/FLSHE_2017_400/Lcapito_call_20170301_173600.wav,92.00925328648371,2017,400,2.5,2017-03-01 17:36:00
./sample_data/FLSHE_2017/FLSHE_2017_399/TEST_0+1_20170104_174500.wav,22.099725797954488,2017,399,4.0,2017-01-04 17:45:00
./sample_data/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170104_174500.wav,20.992675354604817,2017,400,1.5,2017-01-04 17:45:00
./sample_data/FLSHE_2017/FLSHE_2017_399/TEST_0+1_20171221_173600.wav,17.655481788957434,2017,399,0.5,2017-12-21 17:36:00
./sample_data/FLSHE_2018/FLSHE_2018_399/TEST_0+1_20181221_173600.wav,16.42604720143014,2018,399,0.0,2018-12-21 17:36:00
./sample_data/FLSHE_2018/FLSHE_2018_400/Lcapito_call_20180309_174500.wav,1.036979752386949,2018,400,3.0,2018-03-09 17:45:00
