,score,year,logger,time_stamp,date
./sample_data/ichaway_2014/3a/3-17-14/Lcapito_call_20141222_173600.wav,122.73036017407183,2014,3a,2.5,2014-12-22 17:36:00
./sample_data/ichaway_2015/1a/3-10-15/Lcapito_call_20151224_173600.wav,104.92012448834633,2015,1a,1.5,2015-12-24 17:36:00
./sample_data/ichaway_2014/1a/3-17-14/Lcapito_call_320140404_174500.wav,92.00925328648371,2014,1a,2.5,2014-04-04 17:45:00
./sample_data/ichaway_2014/1a/3-10-14/20140104_174500.wav,22.099725797954488,2014,1a,4.0,2014-01-04 17:45:00
./sample_data/ichaway_2014/2a/3-10-14/20140104_174500.wav,20.992675354604817,2014,2a,1.5,2014-01-04 17:45:00
./sample_data/ichaway_2014/1a/3-10-14/20141221_173600.wav,17.655481788957434,2014,1a,0.5,2014-12-21 17:36:00
./sample_data/ichaway_2014/3a/3-17-14/20141221_173600.wav,16.42604720143014,2014,3a,0.0,2014-12-21 17:36:00
./sample_data/ichaway_2015/1a/3-10-15/Lcapito_call_20150309_174500.wav,1.036979752386949,2015,1a,3.0,2015-03-09 17:45:00
