,file_name,Lcapito,call_time,score,year,logger,time_stamp,date
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170403_015800.wav,TEST_0+1_20170403_015800.wav,0.0,,31.75335007518166,2017,400,267.5,2017-04-03 01:58:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170403_025800.wav,TEST_0+1_20170403_025800.wav,0.0,,34.09698555203918,2017,400,111.5,2017-04-03 02:58:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170403_185900.wav,TEST_0+1_20170403_185900.wav,0.0,,30.89904925766,2017,400,120.5,2017-04-03 18:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170403_195900.wav,TEST_0+1_20170403_195900.wav,0.0,,44.61808027118536,2017,400,281.5,2017-04-03 19:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170403_205900.wav,TEST_0+1_20170403_205900.wav,0.0,,36.13079492742372,2017,400,55.0,2017-04-03 20:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170403_215900.wav,TEST_0+1_20170403_215900.wav,0.0,,40.904138508454906,2017,400,22.5,2017-04-03 21:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170403_225900.wav,TEST_0+1_20170403_225900.wav,0.0,,42.60358676019012,2017,400,156.5,2017-04-03 22:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170403_235900.wav,TEST_0+1_20170403_235900.wav,0.0,,40.57680982951946,2017,400,162.5,2017-04-03 23:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170404_005900.wav,TEST_0+1_20170404_005900.wav,0.0,,35.30520669680848,2017,400,270.5,2017-04-04 00:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170404_015900.wav,TEST_0+1_20170404_015900.wav,0.0,,36.54432734384831,2017,400,1.5,2017-04-04 01:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170404_025900.wav,TEST_0+1_20170404_025900.wav,0.0,,29.1197137033372,2017,400,3.5,2017-04-04 02:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170404_185900.wav,TEST_0+1_20170404_185900.wav,0.0,,31.215993457142947,2017,400,124.0,2017-04-04 18:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170404_195900.wav,TEST_0+1_20170404_195900.wav,0.0,,47.97757633909598,2017,400,72.0,2017-04-04 19:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170404_205900.wav,TEST_0+1_20170404_205900.wav,0.0,,55.61000104402862,2017,400,4.0,2017-04-04 20:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170404_215900.wav,TEST_0+1_20170404_215900.wav,0.0,,46.78396099238149,2017,400,81.0,2017-04-04 21:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170404_225900.wav,TEST_0+1_20170404_225900.wav,0.0,,51.109270502543566,2017,400,115.0,2017-04-04 22:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170404_235900.wav,TEST_0+1_20170404_235900.wav,0.0,,36.88515038237476,2017,400,249.0,2017-04-04 23:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170405_005900.wav,TEST_0+1_20170405_005900.wav,0.0,,35.50946930271023,2017,400,146.0,2017-04-05 00:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170405_015900.wav,TEST_0+1_20170405_015900.wav,0.0,,40.86078436355241,2017,400,287.0,2017-04-05 01:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170405_025900.wav,TEST_0+1_20170405_025900.wav,0.0,,38.12789631059871,2017,400,28.5,2017-04-05 02:59:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170405_190000.wav,TEST_0+1_20170405_190000.wav,0.0,,33.05249281494872,2017,400,264.5,2017-04-05 19:00:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170405_200000.wav,TEST_0+1_20170405_200000.wav,0.0,,34.403333505782314,2017,400,131.5,2017-04-05 20:00:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170405_210000.wav,TEST_0+1_20170405_210000.wav,0.0,,39.17718108455072,2017,400,243.0,2017-04-05 21:00:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170405_220000.wav,TEST_0+1_20170405_220000.wav,0.0,,37.38620894280134,2017,400,176.0,2017-04-05 22:00:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170405_230000.wav,TEST_0+1_20170405_230000.wav,0.0,,66.731226293749,2017,400,9.5,2017-04-05 23:00:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170406_000000.wav,TEST_0+1_20170406_000000.wav,0.0,,35.02406315956654,2017,400,216.0,2017-04-06 00:00:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170406_010000.wav,TEST_0+1_20170406_010000.wav,0.0,,39.65153937739481,2017,400,210.5,2017-04-06 01:00:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170406_020000.wav,TEST_0+1_20170406_020000.wav,0.0,,40.179607914312975,2017,400,51.5,2017-04-06 02:00:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170406_190100.wav,TEST_0+1_20170406_190100.wav,0.0,,34.156668131362615,2017,400,194.5,2017-04-06 19:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170406_200100.wav,TEST_0+1_20170406_200100.wav,0.0,,45.16488104928109,2017,400,288.0,2017-04-06 20:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170406_210100.wav,TEST_0+1_20170406_210100.wav,0.0,,37.32853597763259,2017,400,293.0,2017-04-06 21:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2017/FLSHE_2017_400/TEST_0+1_20170406_220100.wav,TEST_0+1_20170406_220100.wav,0.0,,34.642408848307106,2017,400,27.5,2017-04-06 22:01:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180310_184100.wav,TEST_0+1_20180310_184100.wav,0.0,,33.004583750643484,2018,400,88.0,2018-03-10 18:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180310_194100.wav,TEST_0+1_20180310_194100.wav,0.0,,28.53903875739547,2018,400,66.5,2018-03-10 19:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180310_204100.wav,TEST_0+1_20180310_204100.wav,0.0,,42.62596552257279,2018,400,236.0,2018-03-10 20:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180310_214100.wav,TEST_0+1_20180310_214100.wav,0.0,,40.24463496756871,2018,400,102.0,2018-03-10 21:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180310_224100.wav,TEST_0+1_20180310_224100.wav,0.0,,42.23750981582632,2018,400,127.5,2018-03-10 22:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180310_234100.wav,TEST_0+1_20180310_234100.wav,0.0,,57.77794703930633,2018,400,29.5,2018-03-10 23:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180311_004100.wav,TEST_0+1_20180311_004100.wav,0.0,,34.7516642747255,2018,400,3.5,2018-03-11 00:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180311_014100.wav,TEST_0+1_20180311_014100.wav,0.0,,42.68824517521712,2018,400,225.0,2018-03-11 01:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180311_024100.wav,TEST_0+1_20180311_024100.wav,0.0,,35.13967334850681,2018,400,101.5,2018-03-11 02:41:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180311_184200.wav,TEST_0+1_20180311_184200.wav,0.0,,41.60707502089014,2018,400,41.5,2018-03-11 18:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180311_194200.wav,TEST_0+1_20180311_194200.wav,0.0,,39.48141343532161,2018,400,43.5,2018-03-11 19:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180311_204200.wav,TEST_0+1_20180311_204200.wav,0.0,,33.84124360524362,2018,400,196.5,2018-03-11 20:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180311_214200.wav,TEST_0+1_20180311_214200.wav,0.0,,40.627579965636414,2018,400,264.5,2018-03-11 21:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180311_224200.wav,TEST_0+1_20180311_224200.wav,0.0,,34.849752913305146,2018,400,110.0,2018-03-11 22:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180311_234200.wav,TEST_0+1_20180311_234200.wav,0.0,,44.31026394231055,2018,400,1.0,2018-03-11 23:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_004200.wav,TEST_0+1_20180312_004200.wav,0.0,,32.14381511207518,2018,400,16.0,2018-03-12 00:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_014200.wav,TEST_0+1_20180312_014200.wav,0.0,,39.12041908684486,2018,400,240.0,2018-03-12 01:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_024200.wav,TEST_0+1_20180312_024200.wav,0.0,,64.21158218288973,2018,400,98.0,2018-03-12 02:42:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_184300.wav,TEST_0+1_20180312_184300.wav,0.0,,35.88054636992099,2018,400,220.5,2018-03-12 18:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_194300.wav,TEST_0+1_20180312_194300.wav,0.0,,37.15377593810114,2018,400,133.5,2018-03-12 19:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_204300.wav,TEST_0+1_20180312_204300.wav,0.0,,34.545248035610825,2018,400,65.0,2018-03-12 20:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_214300.wav,TEST_0+1_20180312_214300.wav,0.0,,113.78487060964363,2018,400,1.5,2018-03-12 21:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_224300.wav,TEST_0+1_20180312_224300.wav,0.0,,46.11843033208688,2018,400,4.5,2018-03-12 22:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180312_234300.wav,TEST_0+1_20180312_234300.wav,0.0,,38.07600005667136,2018,400,188.5,2018-03-12 23:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180313_004300.wav,TEST_0+1_20180313_004300.wav,0.0,,38.9026586219412,2018,400,281.5,2018-03-13 00:43:00
/Volumes/Expansion/Frog Call Project/Calling Data/FLSHE/FLSHE_2018/FLSHE_2018_400/TEST_0+1_20180313_014300.wav,TEST_0+1_20180313_014300.wav,0.0,,35.85361643092568,2018,400,15.5,2018-03-13 01:43:00
